           Размеры метрических резьб в мм.
     (по ГОСТ 9150-81, ГОСТ 8724-81, ГОСТ24705-81)
+-------------+----+-------+-------+-------+-------+-----+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Высота |Фаска|
|  pезьбы     |    | ный   |диаметр| ний   |профиля|     |
|             |    |диаметp|       |диаметp|       |     |
|             |    |       |       |       |       |     |
+-------------+----+-------+-------+-------+-------+-----+
|    M95x3    |3   |  95   | 93.051| 91.752|  1.624| 2.5 |
|    M95x2    |2   |  95   | 93.701| 92.835|  1.082| 2   |
|    M95x1.5  |1.5 |  95   | 94.026| 93.376|  0.812| 1.6 |
| M100x4      |4   |  100  | 97.402| 95.670|  2.165| 3   |
| M100x3      |3   |  100  | 98.051| 96.752|  1.624| 2.5 |
| M100x2      |2   |  100  | 98.701| 97.835|  1.082| 2   |
| M100x1.5    |1.5 |  100  | 99.026| 98.376|  0.812| 1.6 |
|    M105x4   |4   |  105  |102.402|100.670|  2.165| 3   |
|    M105x3   |3   |  105  |103.051|101.752|  1.624| 2.5 |
|    M105x2   |2   |  105  |103.701|102.835|  1.082| 2   |
|    M105x1.5 |1.5 |  105  |104.026|103.376|  0.812| 1.6 |
| M110x4      |4   |  110  |107.402|105.670|  2.165| 3   |
| M110x3      |3   |  110  |108.051|106.752|  1.624| 2.5 |
| M110x2      |2   |  110  |108.701|107.835|  1.082| 2   |
| M110x1.5    |1.5 |  110  |109.026|108.376|  0.812| 1.6 |
|    M115x4   |4   |  115  |112.402|100.670|  2.165| 3   |
|    M115x3   |3   |  115  |113.051|111.752|  1.624| 2.5 |
|    M115x2   |2   |  115  |113.701|112.835|  1.082| 2   |
|    M115x1.5 |1.5 |  115  |114.026|113.376|  0.812| 1.6 |
|    M120x4   |4   |  120  |117.402|115.670|  2.165| 3   |
|    M120x3   |3   |  120  |118.051|116.752|  1.624| 2.5 |
|    M120x2   |2   |  120  |118.701|117.835|  1.082| 2   |
|    M120x1.5 |1.5 |  120  |119.026|118.376|  0.812| 1.6 |
| M125x4      |4   |  125  |122.402|120.670|  2.165| 3   |
| M125x3      |3   |  125  |123.051|121.752|  1.624| 2.5 |
| M125x2      |2   |  125  |123.701|122.835|  1.082| 2   |
| M125x1.5    |1.5 |  125  |124.026|123.376|  0.812| 1.6 |
|    M130x4   |4   |  130  |127.402|125.670|  2.165| 3   |
|    M130x3   |3   |  130  |128.051|126.752|  1.624| 2.5 |
|    M130x2   |2   |  130  |128.701|127.835|  1.082| 2   |
|    M130x1.5 |1.5 |  130  |129.026|128.376|  0.812| 1.6 |
| M140x4      |4   |  140  |137.402|135.670|  2.165| 3   |
| M140x3      |3   |  140  |138.051|136.752|  1.624| 2.5 |
| M140x2      |2   |  140  |138.701|137.835|  1.082| 2   |
| M140x1.5    |1.5 |  140  |139.026|138.376|  0.812| 1.6 |
|    M150x4   |4   |  150  |147.402|145.670|  2.165| 3   |
|    M150x3   |3   |  150  |148.051|146.752|  1.624| 2.5 |
|    M150x2   |2   |  150  |148.701|147.835|  1.082| 2   |
|    M150x1.5 |1.5 |  150  |149.026|148.376|  0.812| 1.6 |
| M160x4      |4   |  160  |157.402|155.670|  2.165| 3   |
| M160x3      |3   |  160  |158.051|156.752|  1.624| 2.5 |
| M160x2      |2   |  160  |158.701|157.835|  1.082| 2   |
|    M170x4   |4   |  170  |167.402|165.670|  2.165| 3   |
|    M170x3   |3   |  170  |168.051|166.752|  1.624| 2.5 |
|    M170x2   |2   |  170  |168.701|167.835|  1.082| 2   |
| M180x4      |4   |  180  |177.402|175.670|  2.165| 3   |
| M180x3      |3   |  180  |178.051|176.752|  1.624| 2.5 |
| M180x2      |2   |  180  |178.701|177.835|  1.082| 2   |
|    M190x4   |4   |  190  |187.402|185.670|  2.165| 3   |
|    M190x3   |3   |  190  |188.051|186.752|  1.624| 2.5 |
|    M190x2   |2   |  190  |188.701|187.835|  1.082| 2   |
| M200x4      |4   |  200  |197.402|195.670|  2.165| 3   |
| M200x3      |3   |  200  |198.051|196.752|  1.624| 2.5 |
| M200x2      |2   |  200  |198.701|197.835|  1.082| 2   | 
+-------------+----+-------+-------+-------+-------+-----+ 
