      ÿÀ»÷≈¬€≈ ›¬ŒÀ‹¬≈Õ“Õ€≈ —Œ≈ƒ»Õ≈Õ»ﬂ ,
               –¿«Ã≈–€ ‚ ÃÃ
+------+-------+-----------+----------------¨
|      |       | ƒ»¿Ã≈“–   |  Œ¡Œ«Õ¿◊≈Õ»≈   |
|◊»—ÀŒ |ÃŒƒ”À‹ |Œ –”∆ÕŒ—“» |                |
|«”¡‹≈¬|       | ¬€—“”œŒ¬  |                |
+------+-------+-----------+----------------|
|       ÃŒƒ”À‹ 1           |                |
|--------------------------+----------------|
|  28  |  4    |    120    |   120x4x28     |
|  31  |  4    |    130    |   130x4x31     |
|  34  |  4    |    140    |   140x4x34     |
|  36  |  4    |    150    |   150x4x36     |
|  38  |  4    |    160    |   160x4x38     |
|  41  |  4    |    170    |   170x4x41     |
|  44  |  4    |    180    |   180x4x44     |
|  46  |  4    |    190    |   190x4x46     |
|  48  |  4    |    200    |   200x4x48     |
|  51  |  4    |    210    |   210x4x51     |
|--------------------------|----------------|
|       ÃŒƒ”À‹ 5           |                |
|--------------------------+----------------|
|   6  |  5    |     40    |   40x5x6       |
|   7  |  5    |     42    |   42x5x7       |
|   7  |  5    |     45    |   45x5x7       |
|   8  |  5    |     48    |   48x5x8       |
|   8  |  5    |     50    |   50x5x8       |
|   9  |  5    |     52    |   52x5x9       |
|   9  |  5    |     55    |   55x5x9       |
|  10  |  5    |     58    |   58x5x10      |
|  10  |  5    |     60    |   60x5x10      |
|  11  |  5    |     62    |   62x5x11      |
|  11  |  5    |     65    |   65x5x11      |
|  12  |  5    |     68    |   68x5x12      |
|  12  |  5    |     70    |   70x5x12      |
|  13  |  5    |     72    |   72x5x13      |
|  13  |  5    |     75    |   75x5x13      |
|  14  |  5    |     78    |   78x5x14      |
|  14  |  5    |     80    |   80x5x14      |
|  15  |  5    |     82    |   82x5x15      |
|  15  |  5    |     85    |   85x5x15      |
|  16  |  5    |     88    |   88x5x16      |
|  16  |  5    |     90    |   90x5x16      |
|  17  |  5    |     92    |   92x5x17      |
|  18  |  5    |     95    |   95x5x18      |
|  18  |  5    |     98    |   98x5x18      |
|  18  |  5    |    100    |   100x5x18     |
|  20  |  5    |    105    |   105x5x20     |
|  20  |  5    |    110    |   110x5x20     |
|  22  |  5    |    120    |   120x5x22     |
|  24  |  5    |    130    |   130x5x24     |
|  26  |  5    |    140    |   140x5x26     |
|  28  |  5    |    150    |   150x5x28     |
|  30  |  5    |    160    |   160x5x30     |
|  32  |  5    |    170    |   170x5x32     |
|  34  |  5    |    180    |   180x5x34     |
|  36  |  5    |    190    |   190x5x36     |
|  38  |  5    |    200    |   200x5x38     |
|  40  |  5    |    210    |   210x5x40     |
|  42  |  5    |    220    |   220x5x42     |
|  46  |  5    |    240    |   240x5x46     |
|  48  |  5    |    250    |   250x5x48     |
|  50  |  5    |    260    |   260x5x50     |
|  54  |  5    |    280    |   280x5x54     |
|  58  |  5    |    300    |   300x5x58     |
|  62  |  5    |    320    |   320x5x62     |
|--------------------------|----------------|
|       ÃŒƒ”À‹ 6           |                |
|--------------------------+----------------|
|   6  |  6    |     48    |   48x6x6       |
|   7  |  6    |     50    |   50x6x7       |
|   7  |  6    |     52    |   52x6x7       |
|   8  |  6    |     55    |   55x6x8       |
|   8  |  6    |     58    |   58x6x8       |
|   8  |  6    |     60    |   60x6x8       |
|   9  |  6    |     62    |   62x6x9       |
|   9  |  6    |     65    |   65x6x9       |
|  10  |  6    |     68    |   68x6x10      |
|  10  |  6    |     70    |   70x6x10      |
|  10  |  6    |     72    |   72x6x10      |
|  11  |  6    |     75    |   75x6x11      |
|  11  |  6    |     78    |   78x6x11      |
|  12  |  6    |     80    |   80x6x12      |
|  12  |  6    |     82    |   82x6x12      |
|  13  |  6    |     85    |   85x6x13      |
|  13  |  6    |     88    |   88x6x13      |
|  13  |  6    |     90    |   90x6x13      |
|  14  |  6    |     92    |   92x6x14      |
|  14  |  6    |     95    |   95x6x14      |
|  15  |  6    |     98    |   98x6x15      |
|  15  |  6    |    100    |   100x6x15     |
|  16  |  6    |    105    |   105x6x16     |
|  17  |  6    |    110    |   110x6x17     |
|  18  |  6    |    120    |   120x6x18     |
|  20  |  6    |    130    |   130x6x20     |
|  22  |  6    |    140    |   140x6x22     |
|  24  |  6    |    150    |   150x6x24     |
|  25  |  6    |    160    |   160x6x25     |
|  27  |  6    |    170    |   170x6x27     |
|  28  |  6    |    180    |   180x6x28     |
|  30  |  6    |    190    |   190x6x30     |
|  32  |  6    |    200    |   200x6x32     |
|  34  |  6    |    210    |   210x6x34     |
|  35  |  6    |    220    |   220x6x35     |
|  38  |  6    |    240    |   240x6x38     |
|  40  |  6    |    250    |   250x6x40     |
|  42  |  6    |    260    |   260x6x42     |
|  45  |  6    |    280    |   280x6x45     |
|  48  |  6    |    300    |   300x6x48     |
|  52  |  6    |    320    |   320x6x52     |
|  55  |  6    |    340    |   340x6x55     |
|  58  |  6    |    360    |   360x6x58     |
|  62  |  6    |    380    |   380x6x62     |
|  65  |  6    |    400    |   400x6x65     |
|  68  |  6    |    420    |   420x6x68     |
|  72  |  6    |    440    |   440x6x72     |
|  75  |  6    |    460    |   460x6x75     |
|  78  |  6    |    480    |   480x6x78     |
|  82  |  6    |    500    |   500x6x82     |
|--------------------------|----------------|
|       ÃŒƒ”À‹ 8           |                |
|--------------------------+----------------|
|   7  |  8    |     70    |   70x8x7       |
|   8  |  8    |     75    |   75x8x8       |
|   8  |  8    |     80    |   80x8x8       |
|   9  |  8    |     85    |   85x8x9       |
|  10  |  8    |     90    |   90x8x10      |
|  10  |  8    |     95    |   95x8x10      |
|  11  |  8    |    100    |   100x8x11     |
|  12  |  6    |    105    |   105x6x12     |
|  12  |  8    |    110    |   110x8x12     |
|  13  |  8    |    120    |   120x8x13     |
|  15  |  8    |    130    |   130x8x15     |
|  16  |  8    |    140    |   140x8x16     |
|  17  |  8    |    150    |   150x8x17     |
|  18  |  8    |    160    |   160x8x18     |
|  20  |  8    |    170    |   170x8x20     |
|  21  |  8    |    180    |   180x8x21     |
|  22  |  8    |    190    |   190x8x22     |
|  24  |  8    |    200    |   200x8x24     |
|  25  |  8    |    210    |   210x8x25     |
|  26  |  8    |    220    |   220x8x26     |
|  28  |  8    |    240    |   240x8x28     |
|  30  |  8    |    250    |   250x8x30     |
|  31  |  8    |    260    |   260x8x31     |
|  34  |  8    |    280    |   280x8x34     |
|  36  |  8    |    300    |   300x8x36     |
|  38  |  8    |    320    |   320x8x38     |
|  41  |  8    |    340    |   340x8x41     |
|  44  |  8    |    360    |   360x8x44     |
|  46  |  8    |    380    |   380x8x46     |
|  48  |  8    |    400    |   400x8x48     |
|  51  |  8    |    420    |   420x8x51     |
|  54  |  8    |    440    |   440x8x54     |
|  55  |  8    |    450    |   450x8x55     |
